hotel_name,brand,city,state,country,opening_date,room_count,room_count_confidence,hotel_type,project_type,management_company,developer,owner,investment_amount,amenities,key_insights,contact_name,contact_title,contact_email,contact_phone,contact_company,contact_relevance,lead_priority,lead_priority_reason,months_to_opening,uniform_decision_window,qualification_score,brand_tier,location_type,estimated_revenue,estimated_staff,revenue_breakdown,skip_reason,confidence_score,source_url,source_name,source_urls,source_names,merged_from_count,scraped_at
Six Senses Camp Korongo,Six Senses,,Utah,USA,2026,0,,resort,,,,,,,,,,,,,,,,,,0,,,0,0,{},,0.73,https://www.hoteldive.com/topic/development/,Hotel Dive,https://www.hoteldive.com/topic/development/,Hotel Dive,1,
Waldorf Astoria Deer Valley,Waldorf Astoria,Deer Valley,Utah,USA,2026,0,,hotel and branded-residences,,,,,,,,,VP,,,,,,,,,0,,,0,0,{},,0.68,https://www.hoteldive.com/topic/development/,Hotel Dive,https://www.hoteldive.com/topic/development/,Hotel Dive,1,
Ritz-Carlton Indianapolis,Ritz-Carlton,Indianapolis,,USA,January 2026,0,,luxury hotel,,,,,,,,,,,,,,,,,,0,,,0,0,{},,0.68,https://www.hoteldive.com/topic/development/,Hotel Dive,https://www.hoteldive.com/topic/development/,Hotel Dive,1,
Apartment Collection,Hilton,,,USA,January 2026,3000,,apartment-style accommodations,,,,,,,,,,,,,,,,,,0,,,0,0,{},,0.65,https://www.hoteldive.com/topic/development/,Hotel Dive,https://www.hoteldive.com/topic/development/,Hotel Dive,1,
Ruby Hotels,Ruby Hotels,Chicago,,USA,January 2026,0,,urban lifestyle,,,,,,,,Jolyon Bulley,IHG Americas CEO,,,,,,,,,0,,,0,0,{},,0.58,https://www.hoteldive.com/topic/development/,Hotel Dive,https://www.hoteldive.com/topic/development/,Hotel Dive,1,
The Heid Lofts,"Reside, A Wyndham Residence",Philadelphia,,USA,January 2026,0,,apart-hotel,,,,,,,,,,,,,,,,,,0,,,0,0,{},,0.58,https://www.hoteldive.com/topic/development/,Hotel Dive,https://www.hoteldive.com/topic/development/,Hotel Dive,1,
Outbound Hotels Park City,Outbound Hotels,Park City,Utah,USA,2026,0,,mountain destination,,,Waterton and Barings,,,,,,,,,,,,,,,0,,,0,0,{},,0.58,https://www.hoteldive.com/topic/development/,Hotel Dive,https://www.hoteldive.com/topic/development/,Hotel Dive,1,
Undergraduate by Hilton,Hilton,,,USA,2026,0,,lifestyle,,,,,,,,,,,,,,,,,,0,,,0,0,{},,0.53,https://www.hoteldive.com/topic/development/,Hotel Dive,https://www.hoteldive.com/topic/development/,Hotel Dive,1,
